Hidden Hills,City,Los Angeles,"1,856",1.69,4.4,19-Jan-61
Highland,City,San Bernardino,"53,104",18.76,48.6,24-Nov-87
Hillsborough,Town,San Mateo,"10,825",6.19,16,5-May-10
Hollister,City,San Benito,"34,928",7.29,18.9,"March 26, 1872"
Holtville,City,Imperial,"5,939",1.15,3,1-Jul-08
Hughson,City,Stanislaus,"6,640",1.82,4.7,9-Dec-72
Huntington Beach,City,Orange,"189,992",26.75,69.3,17-Feb-09
Huntington Park,City,Los Angeles,"58,114",3.01,7.8,1-Sep-06
Huron,City,Fresno,"6,754",1.59,4.1,3-May-51
Imperial,City,Imperial,"14,758",5.86,15.2,12-Jul-04
Imperial Beach,City,San Diego,"26,324",4.16,10.8,18-Jul-56
Indian Wells,City,Riverside,"4,958",14.32,37.1,14-Jul-67
Indio,City,Riverside,"76,036",29.18,75.6,16-May-30
Industry,City,Los Angeles,219,11.78,30.5,18-Jun-57
Inglewood,City,Los Angeles,"109,673",9.07,23.5,7-Feb-08
Ione,City,Amador,"7,918",4.76,12.3,23-Mar-53
Irvine,City,Orange,"212,375",66.11,171.2,28-Dec-71
Irwindale,City,Los Angeles,"1,422",8.83,22.9,6-Aug-57
Isleton,City,Sacramento,804,0.44,1.1,14-May-23
Jackson,City,Amador,"4,651",3.73,9.7,5-Dec-05
Jurupa Valley,City,Riverside,"95,004[11]",43.7,113[11],1-Jul-11
Kerman,City,Fresno,"13,544",3.23,8.4,2-Jul-46
King City,City,Monterey,"12,874",3.84,9.9,9-Feb-11
Kingsburg,City,Fresno,"11,382",2.83,7.3,29-May-08
La Cañada Flintridge,City,Los Angeles,"20,246",8.63,22.4,30-Nov-76
La Habra,City,Orange,"60,239",7.37,19.1,20-Jan-25
La Habra Heights,City,Los Angeles,"5,325",6.16,16,4-Dec-78
La Mesa,City,San Diego,"57,065",9.08,23.5,16-Feb-12
La Mirada,City,Los Angeles,"48,527",7.84,20.3,23-Mar-60
